Date,Close,High,Low,Open,Volume
,IDR=X,IDR=X,IDR=X,IDR=X,IDR=X
2024-06-20,16380.900390625,16510.19921875,16358.0,16380.900390625,0
2024-06-21,16491.900390625,16489.400390625,16423.0,16491.900390625,0
2024-06-24,16443.0,16474.30078125,16331.2998046875,16443.0,0
2024-06-25,16394.099609375,16403.0,16353.0,16394.099609375,0
2024-06-26,16401.0,16448.0,16390.0,16401.0,0
2024-06-27,16434.0,16434.0,16349.0,16434.0,0
2024-06-28,16374.400390625,16416.80078125,16310.0,16374.400390625,0
2024-07-01,16343.0,16375.400390625,16306.0,16343.0,0
2024-07-02,16390.0,16401.900390625,16351.099609375,16390.0,0
2024-07-03,16391.0,16396.5,16271.900390625,16391.0,0
2024-07-04,16340.0,16350.2998046875,16307.0,16340.0,0
2024-07-05,16328.5,16339.0,16174.7001953125,16328.5,0
2024-07-08,16245.0,16291.7998046875,16239.5,16245.0,0
2024-07-09,16277.2001953125,16309.2998046875,16245.0,16277.2001953125,0
2024-07-10,16277.0,16289.099609375,16197.0,16277.0,0
2024-07-11,16198.0,16212.5,15640.0,16198.0,0
2024-07-12,16104.0,16160.2998046875,16069.099609375,16104.0,0
2024-07-15,16108.0,16196.599609375,16108.0,16108.0,0
2024-07-16,16195.0,16210.7001953125,16138.900390625,16195.0,0
2024-07-17,16173.0,16173.0,16084.5,16173.0,0
2024-07-18,16138.0,16188.900390625,16122.5,16138.0,0
2024-07-19,16185.0,16219.900390625,16139.2001953125,16185.0,0
2024-07-22,16206.0,16233.2001953125,14633.0,16206.0,0
2024-07-23,16220.2001953125,16230.0,16180.0,16220.2001953125,0
2024-07-24,16222.0,16252.5,16205.5,16222.0,0
2024-07-25,16246.0,16330.7998046875,16229.7998046875,16246.0,0
2024-07-26,16337.7998046875,16337.7998046875,16244.0,16337.7998046875,0
2024-07-29,16283.0,16294.599609375,16261.599609375,16283.0,0
2024-07-30,16301.7001953125,16335.099609375,16286.7001953125,16301.7001953125,0
2024-07-31,16328.5,16330.0,16247.0,16328.5,0
2024-08-01,16255.0,16270.0,16210.0,16255.0,0
2024-08-02,16281.0,16284.0,15814.7001953125,16281.0,0
2024-08-05,16012.0,16221.7998046875,16012.0,16012.0,0
2024-08-06,16208.0,16216.2001953125,16135.7001953125,16208.0,0
2024-08-07,16152.2998046875,16168.0,15987.0,16152.2998046875,0
2024-08-08,16023.0,16023.099609375,15751.7998046875,16023.0,0
2024-08-09,15979.0,15981.099609375,15883.0,15979.0,0
2024-08-12,15918.0,15992.2998046875,15907.5,15918.0,0
2024-08-13,15949.099609375,15948.0,15734.599609375,15949.099609375,0
2024-08-14,15749.0,15747.900390625,15460.2998046875,15749.0,0
2024-08-15,15619.5,15788.0,15555.2998046875,15619.5,0
2024-08-16,15755.0,15766.0,14966.0,15755.0,0
2024-08-19,15683.0,15683.0,15535.2998046875,15683.0,0
2024-08-20,15523.0,15546.0,15401.0,15523.0,0
2024-08-21,15442.0,15521.099609375,15417.0,15442.0,0
2024-08-22,15484.0,15713.400390625,15461.7001953125,15484.0,0
2024-08-23,15728.5,15744.0,15417.7998046875,15728.5,0
2024-08-26,15377.2001953125,15471.0,15287.599609375,15377.2001953125,0
2024-08-27,15462.599609375,15552.900390625,15443.0,15462.599609375,0
2024-08-28,15467.099609375,15520.400390625,15367.7998046875,15467.099609375,0
2024-08-29,15440.0,15466.099609375,15257.599609375,15440.0,0
2024-08-30,15444.7998046875,15527.5,15383.7998046875,15444.7998046875,0
2024-09-02,15525.0,15556.2998046875,15506.5,15525.0,0
2024-09-03,15520.099609375,15585.5,15441.7998046875,15520.099609375,0
2024-09-04,15532.900390625,15550.099609375,15421.5,15532.900390625,0
2024-09-05,15444.400390625,15449.0,15340.2998046875,15444.400390625,0
2024-09-06,15417.0,15439.0,15249.2001953125,15417.0,0
2024-09-09,15405.0,15504.7001953125,15316.5,15405.0,0
2024-09-10,15456.7998046875,15489.0,15411.5,15456.7998046875,0
